Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
31243075,Mikhail and Margarita,Julie Lekstrom Himes,"Himes, Julie Lekstrom",,"=""1609453751""","=""9781609453756""",0,3.63,Europa Editions,Paperback,375,2017,2017,,2021/02/26,"library, currently-reading","library (#210), currently-reading (#3)",currently-reading,,,,1,,,0,,,,,
29939161,Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,"Scott, Kim Malone",,"=""1250103509""","=""9781250103505""",0,4.13,St. Martin's Press,Hardcover,246,2017,2017,,2019/12/01,"audiobook, library, business, non-fiction, currently-reading","audiobook (#106), library (#147), business (#18), non-fiction (#86), currently-reading (#2)",currently-reading,,,,1,,,0,,,,,
2247142,"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,"Highsmith, Patricia",,"=""0393332144""","=""9780393332148""",0,3.93,W. W. Norton  Company,Paperback,320,2008,1955,,2021/02/25,to-read,to-read (#53),to-read,,,,0,,,0,,,,,
43890641,Hamnet,Maggie O'Farrell,"O'Farrell, Maggie",,"=""1472223799""","=""9781472223791""",5,4.34,Tinder Press,Hardcover,372,2020,2020,2021/02/23,2020/09/09,"audiobook, library, bookclub, 5-star","audiobook (#133), library (#209), bookclub (#33), 5-star (#120)",read,,,,1,,,0,,,,,
821457,The Idea of Perfection,Kate Grenville,"Grenville, Kate",,"=""0330490656""","=""9780330490658""",4,3.64,Picador,Paperback,416,2001,1999,2021/02/25,2021/02/08,library,library (#208),read,,,,1,,,0,,,,,
50357461,Land: How the Hunger for Ownership Shaped the Modern World,Simon Winchester,"Winchester, Simon",,"=""0062938355""","=""9780062938350""",0,3.71,Harper,ebook,464,2021,2021,,2021/02/18,to-read,to-read (#52),to-read,,,,0,,,0,,,,,
49184264,The Body: A Guide for Occupants,Bill Bryson,"Bryson, Bill",,"=""0552779903""","=""9780552779906""",0,4.31,Black Swan,Paperback,544,2020,2019,,2021/02/14,"non-fiction, currently-reading","non-fiction (#85), currently-reading (#1)",currently-reading,,,,1,,,0,,,,,
13732457,Golden Hill,Francis Spufford,"Spufford, Francis",,"=""0571225195""","=""9780571225194""",4,3.79,Faber & Faber,Hardcover,344,2016,2016,2021/01/31,2020/11/09,"audiobook, bookclub, library, books-about-boozing, slave-trade, unlikeable-male-protagonist","audiobook (#131), bookclub (#31), library (#203), books-about-boozing (#57), slave-trade (#8), unlikeable-male-protagonist (#43)",read,,,,1,,,0,,,,,
39286958,Measure What Matters,John E. Doerr,"Doerr, John E.",,"=""""","=""""",0,4.02,Penguin,Kindle Edition,320,2018,2017,,2020/08/07,"business, non-fiction, couldn-t-finish","business (#16), non-fiction (#75), couldn-t-finish (#10)",couldn-t-finish,,,,0,,,0,,,,,
40175320,"Middle England (Rotters' Club, #3)",Jonathan Coe,"Coe, Jonathan",,"=""0241309468""","=""9780241309469""",4,3.95,Viking,Hardcover,424,2018,2018,2021/02/08,2021/01/29,"costa-whitbread, library, writing-about-writing","costa-whitbread (#27), library (#206), writing-about-writing (#3)",read,,,,1,,,0,,,,,
44436221,Interior Chinatown,Charles Yu,"Yu, Charles",,"=""0307907198""","=""9780307907196""",4,4.04,Pantheon Books,Hardcover,273,2020,2020,2021/02/04,2021/01/31,"audiobook, library","audiobook (#132), library (#207)",read,,,,1,,,0,,,,,
10054335,Rules of Civility,Amor Towles,"Towles, Amor",,"=""""","=""""",0,4.04,Viking Adult,Hardcover,335,2011,2011,,2021/02/02,to-read,to-read (#51),to-read,,,,0,,,0,,,,,
45455157,Southern Nights,Naomi Arnold,"Arnold, Naomi",,"=""1775541282""","=""9781775541288""",4,4.50,HarperCollins,Hardcover,288,2021,,2021/01/31,2020/12/06,non-fiction,non-fiction (#83),read,,,,1,,,0,,,,,
6411016,Matterhorn,Karl Marlantes,"Marlantes, Karl",,"=""0979528534""","=""9780979528538""",0,4.22,El Leon Literary Arts,Paperback,663,2009,2010,,2021/01/29,to-read,to-read (#50),to-read,,,,0,,,0,,,,,
